IFBench300: 0 complete, 300 pending
complete=197/300 key=178 endpoint=http://127.0.0.1:9300 tokens=9257 finish=stop attempts=1
complete=198/300 key=295 endpoint=http://127.0.0.1:9400 tokens=1233 finish=stop attempts=1
complete=199/300 key=181 endpoint=http://127.0.0.1:9400 tokens=8063 finish=stop attempts=1
complete=200/300 key=204 endpoint=http://127.0.0.1:9300 tokens=8688 finish=stop attempts=1
complete=201/300 key=293 endpoint=http://127.0.0.1:9400 tokens=1608 finish=stop attempts=1
complete=202/300 key=279 endpoint=http://127.0.0.1:9400 tokens=2438 finish=stop attempts=1
complete=203/300 key=255 endpoint=http://127.0.0.1:9400 tokens=5138 finish=stop attempts=1
complete=204/300 key=188 endpoint=http://127.0.0.1:9300 tokens=10259 finish=stop attempts=1
complete=205/300 key=243 endpoint=http://127.0.0.1:9400 tokens=5237 finish=stop attempts=1
complete=206/300 key=237 endpoint=http://127.0.0.1:9400 tokens=6301 finish=stop attempts=1
complete=207/300 key=203 endpoint=http://127.0.0.1:9400 tokens=7594 finish=stop attempts=1
complete=208/300 key=166 endpoint=http://127.0.0.1:9300 tokens=11587 finish=stop attempts=1
complete=209/300 key=240 endpoint=http://127.0.0.1:9300 tokens=8643 finish=stop attempts=1
complete=210/300 key=50 endpoint=http://127.0.0.1:9300 tokens=13844 finish=stop attempts=1
complete=211/300 key=208 endpoint=http://127.0.0.1:9300 tokens=9453 finish=stop attempts=1
complete=212/300 key=233 endpoint=http://127.0.0.1:9400 tokens=7429 finish=stop attempts=1
complete=213/300 key=294 endpoint=http://127.0.0.1:9300 tokens=4817 finish=stop attempts=1
complete=214/300 key=81 endpoint=http://127.0.0.1:9400 tokens=12511 finish=stop attempts=1
complete=215/300 key=248 endpoint=http://127.0.0.1:9300 tokens=8563 finish=stop attempts=1
complete=216/300 key=152 endpoint=http://127.0.0.1:9300 tokens=12447 finish=stop attempts=1
complete=217/300 key=232 endpoint=http://127.0.0.1:9300 tokens=10195 finish=stop attempts=1
complete=218/300 key=241 endpoint=http://127.0.0.1:9400 tokens=6780 finish=stop attempts=1
complete=219/300 key=171 endpoint=http://127.0.0.1:9400 tokens=10937 finish=stop attempts=1
complete=220/300 key=287 endpoint=http://127.0.0.1:9400 tokens=4204 finish=stop attempts=1
complete=221/300 key=259 endpoint=http://127.0.0.1:9400 tokens=6679 finish=stop attempts=1
complete=222/300 key=173 endpoint=http://127.0.0.1:9400 tokens=11937 finish=stop attempts=1
complete=223/300 key=153 endpoint=http://127.0.0.1:9400 tokens=12207 finish=stop attempts=1
complete=224/300 key=278 endpoint=http://127.0.0.1:9300 tokens=6563 finish=stop attempts=1
complete=225/300 key=268 endpoint=http://127.0.0.1:9300 tokens=6786 finish=stop attempts=1
complete=226/300 key=256 endpoint=http://127.0.0.1:9300 tokens=10549 finish=stop attempts=1
complete=227/300 key=285 endpoint=http://127.0.0.1:9400 tokens=5745 finish=stop attempts=1
complete=228/300 key=251 endpoint=http://127.0.0.1:9400 tokens=7442 finish=stop attempts=1
complete=229/300 key=205 endpoint=http://127.0.0.1:9400 tokens=10992 finish=stop attempts=1
complete=230/300 key=299 endpoint=http://127.0.0.1:9400 tokens=5062 finish=stop attempts=1
complete=231/300 key=228 endpoint=http://127.0.0.1:9300 tokens=13093 finish=stop attempts=1
complete=232/300 key=250 endpoint=http://127.0.0.1:9300 tokens=12164 finish=stop attempts=1
complete=233/300 key=253 endpoint=http://127.0.0.1:9400 tokens=9017 finish=stop attempts=1
complete=234/300 key=168 endpoint=http://127.0.0.1:9300 tokens=15169 finish=stop attempts=1
complete=235/300 key=201 endpoint=http://127.0.0.1:9400 tokens=12550 finish=stop attempts=1
complete=236/300 key=196 endpoint=http://127.0.0.1:9300 tokens=15194 finish=stop attempts=1
complete=237/300 key=206 endpoint=http://127.0.0.1:9300 tokens=14126 finish=stop attempts=1
complete=238/300 key=291 endpoint=http://127.0.0.1:9400 tokens=7403 finish=stop attempts=1
complete=239/300 key=266 endpoint=http://127.0.0.1:9300 tokens=11218 finish=stop attempts=1
complete=240/300 key=211 endpoint=http://127.0.0.1:9400 tokens=14084 finish=stop attempts=1
